Time,Time Since Start,DMA Voltage,Electrometer Voltage,Electrometer Concentration,Electrospray Voltage,Electrospray Current
2023-02-21 12:28:05.325158,1.00057,-4857.5568199157715,-9.731741905212402,-11319043.410994252,-9721.890449523926,-0.009731820106506348
2023-02-21 12:28:05.331126,1.006538,-4868.589878082275,-9.735445976257324,-11323351.636732588,-9737.415313720703,-0.009738518714904786
2023-02-21 12:28:05.337192,1.012604,-4863.979339599609,-9.717398643493652,-11302360.68310945,-9703.607559204102,-0.00971062183380127
2023-02-21 12:28:05.358157,1.033569,-4867.328643798828,-9.786591529846191,-11382839.31601862,-9761.2943649292,-0.009779419898986817
2023-02-21 12:28:05.372598,1.04801,-4895.777702331543,-9.778946876525879,-11373947.777007677,-9768.780708312988,-0.009769647598266602
2023-02-21 12:28:05.378666,1.054078,-4897.590637207031,-9.802194595336914,-11400987.328712985,-9799.909591674805,-0.009803771018981933
2023-02-21 12:28:05.384627,1.060039,-4902.909755706787,-9.805583000183105,-11404928.401330983,-9807.78980255127,-0.009808815002441407
2023-02-21 12:28:05.390602,1.066014,-4904.052734375,-9.780680656433105,-11375964.34610971,-9781.62670135498,-0.009773115158081056
2023-02-21 12:28:05.396602,1.072014,-4898.181438446045,-9.802351951599121,-11401170.350661188,-9801.170349121094,-0.00980448055267334
2023-02-21 12:28:05.405660,1.081072,-4900.506496429443,-9.728904724121094,-11315743.469806932,-9786.355018615723,-0.009767440795898438
2023-02-21 12:28:05.421627,1.097039,-4864.294528961182,-9.733081817626953,-11320601.87061381,-9731.820106506348,-0.009734972953796387
2023-02-21 12:28:05.427646,1.103058,-4858.502388000488,-9.720235824584961,-11305660.62429677,-9701.637268066406,-0.0097139310836792
2023-02-21 12:28:05.433652,1.109064,-4865.516185760498,-9.735760688781738,-11323717.680628996,-9735.366821289062,-0.009738045692443848
2023-02-21 12:28:05.454605,1.130017,-4862.875938415527,-9.778789520263672,-11373764.755059473,-9733.160018920898,-0.009766416549682617
2023-02-21 12:28:05.461664,1.137076,-4898.024082183838,-9.775558471679688,-11370006.704389678,-9783.754348754883,-0.009767046928405762
2023-02-21 12:28:05.468606,1.144018,-4896.881103515625,-9.802983283996582,-11401904.656901862,-9800.224304199219,-0.009804401397705078
2023-02-21 12:28:05.475607,1.151019,-4904.446601867676,-9.805583000183105,-11404928.401330983,-9808.10546875,-0.00980889320373535
2023-02-21 12:28:05.485652,1.161064,-4892.310619354248,-9.8013277053833,-11399979.044161968,-9794.787406921387,-0.009801406860351563
2023-02-21 12:28:05.501614,1.177026,-4884.705543518066,-9.790216445922852,-11387055.47617089,-9784.542083740234,-0.00979533863067627
2023-02-21 12:28:05.508608,1.18402,-4883.7995529174805,-9.742774963378906,-11331876.022623193,-9755.777359008789,-0.009749788284301758
2023-02-21 12:28:05.515609,1.191021,-4871.426582336426,-9.709124565124512,-11292737.05630569,-9729.455947875977,-0.009703923225402833
2023-02-21 12:28:05.533653,1.209065,-4863.664150238037,-9.709281921386719,-11292920.078253895,-9713.537216186523,-0.00969919490814209
2023-02-21 12:28:05.540606,1.216018,-4864.215850830078,-9.734342575073242,-11322068.2646473,-9731.89926147461,-0.009735366821289063
2023-02-21 12:28:05.547630,1.223042,-4869.377613067627,-9.735130310058594,-11322984.48361225,-9738.045692443848,-0.009738834381103515
2023-02-21 12:28:05.554608,1.23002,-4851.212978363037,-9.767046928405762,-11360106.88082772,-9712.433815002441,-0.00974569034576416
2023-02-21 12:28:05.565606,1.241018,-4897.314548492432,-9.799515724182129,-11397871.518697798,-9799.830436706543,-0.009804007530212402
2023-02-21 12:28:05.581669,1.257081,-4898.299694061279,-9.802824974060059,-11401720.52572973,-9799.752235412598,-0.009804085731506349
2023-02-21 12:28:05.588606,1.264018,-4901.727676391602,-9.786355018615723,-11382564.22848435,-9774.218559265137,-0.009778079986572267
2023-02-21 12:28:05.595610,1.271022,-4900.191307067871,-9.803455352783203,-11402453.722746477,-9803.455352783203,-0.009806135177612304
2023-02-21 12:28:05.612668,1.28808,-4863.7824058532715,-9.734026908874512,-11321701.111526962,-9731.583595275879,-0.009735287666320801
2023-02-21 12:28:05.619611,1.295023,-4869.377613067627,-9.735445976257324,-11323351.636732588,-9739.937782287598,-0.009740804672241211
2023-02-21 12:28:05.626636,1.302048,-4852.118968963623,-9.726461410522461,-11312901.638102086,-9711.882591247559,-0.009723152160644531
2023-02-21 12:28:05.644652,1.320064,-4846.7206954956055,-9.724806785583496,-11310977.134586122,-9708.335876464844,-0.009721181869506835
2023-02-21 12:28:05.651615,1.327027,-4866.580009460449,-9.740095138549805,-11328759.103384078,-9735.997200012207,-0.00973812484741211
2023-02-21 12:28:05.658607,1.334019,-4887.660980224609,-9.7612943649292,-11353416.042090943,-9787.773132324219,-0.009777606964111328
2023-02-21 12:28:05.665630,1.341042,-4892.62580871582,-9.80053997039795,-11399062.825197019,-9793.525695800781,-0.009800382614135742
2023-02-21 12:28:05.676631,1.352043,-4899.954795837402,-9.771775245666504,-11365606.413065277,-9799.27921295166,-0.009773824691772461
2023-02-21 12:28:05.692668,1.36808,-4898.772716522217,-9.783281326293945,-11378989.19976276,-9801.56421661377,-0.009804637908935546
2023-02-21 12:28:05.699655,1.375067,-4887.897491455078,-9.799200057983398,-11397504.365577461,-9788.009643554688,-0.009797466278076173
2023-02-21 12:28:05.706606,1.382018,-4900.585174560547,-9.751679420471191,-11342232.846443698,-9779.183387756348,-0.00976468276977539
2023-02-21 12:28:05.723668,1.39908,-4864.097595214844,-9.733790397644043,-11321426.023992693,-9731.268882751465,-0.009735445976257324
2023-02-21 12:28:05.730650,1.406062,-4869.298934936523,-9.70021915435791,-11282379.123261256,-9737.415313720703,-0.00971424674987793
2023-02-21 12:28:05.737607,1.413019,-4860.8269691467285,-9.733633041381836,-11321243.002044488,-9729.849815368652,-0.009734657287597656
2023-02-21 12:28:05.743665,1.419077,-4869.811058044434,-9.737021446228027,-11325184.074662486,-9739.14909362793,-0.009740252494812012
2023-02-21 12:28:05.755663,1.431075,-4859.132766723633,-9.78288745880127,-11378531.090280283,-9747.344970703125,-0.009771854400634767
2023-02-21 12:28:05.770668,1.44608,-4880.37109375,-9.794156074523926,-11391637.680219566,-9776.897430419922,-0.009789822578430175
2023-02-21 12:28:05.777657,1.453069,-4902.122020721436,-9.804874420166016,-11404104.2479521,-9805.819511413574,-0.009807632446289061
2023-02-21 12:28:05.784609,1.460021,-4903.382778167725,-9.769411087036133,-11362856.6469465,-9808.341979980469,-0.009793131828308106
2023-02-21 12:28:05.802608,1.47802,-4898.733139038086,-9.754753112792969,-11345807.875165287,-9801.8798828125,-0.009790216445922852
2023-02-21 12:28:05.808647,1.484059,-4873.35729598999,-9.738204002380371,-11326559.51233384,-9742.774963378906,-0.009742301940917969
2023-02-21 12:28:05.815617,1.491029,-4870.126247406006,-9.737337112426758,-11325551.227782823,-9739.858627319336,-0.009740882873535157
2023-02-21 12:28:05.833664,1.509076,-4863.152027130127,-9.733869552612305,-11321518.089578759,-9731.505393981934,-0.00973552417755127
2023-02-21 12:28:05.840606,1.516018,-4866.067886352539,-9.717477798461914,-11302452.748695515,-9702.110290527344,-0.009709596633911133
2023-02-21 12:28:05.847629,1.523041,-4865.555763244629,-9.734814643859863,-11322617.330491913,-9733.94775390625,-0.009736784934997559
2023-02-21 12:28:05.854631,1.530043,-4869.417190551758,-9.765392303466797,-11358182.377311753,-9743.326187133789,-0.009766810417175293
2023-02-21 12:28:05.865646,1.541058,-4894.595623016357,-9.801800727844238,-11400529.21923051,-9796.756744384766,-0.009802351951599121
2023-02-21 12:28:05.881647,1.557059,-4892.428874969482,-9.800618171691895,-11399153.781559156,-9792.895317077637,-0.00980022430419922
2023-02-21 12:28:05.888606,1.564018,-4903.737545013428,-9.805110931396484,-11404379.335486371,-9807.395935058594,-0.00980810546875
2023-02-21 12:28:05.895630,1.571042,-4893.610954284668,-9.791791915893555,-11388887.914100789,-9773.194313049316,-0.0097861967086792
2023-02-21 12:28:05.913608,1.58902,-4860.866546630859,-9.719921112060547,-11305294.58040036,-9700.21915435791,-0.00971290683746338
2023-02-21 12:28:05.920609,1.596021,-4866.146564483643,-9.73552417755127,-11323442.593094725,-9736.076354980469,-0.009738361358642578
2023-02-21 12:28:05.926669,1.602081,-4870.52059173584,-9.714167594909668,-11298602.632439654,-9740.015983581543,-0.009740095138549804
2023-02-21 12:28:05.933673,1.609085,-4854.877471923828,-9.731348037719727,-11318585.301511776,-9721.49658203125,-0.009730165481567384
2023-02-21 12:28:05.944645,1.620057,-4866.146564483643,-9.71787166595459,-11302910.85817799,-9734.420776367188,-0.009737494468688965
2023-02-21 12:28:05.960646,1.636058,-4891.167640686035,-9.799357414245605,-11397687.387525665,-9792.501449584961,-0.00979927921295166
2023-02-21 12:28:05.967607,1.643019,-4887.306213378906,-9.792107582092285,-11389255.067221126,-9772.405624389648,-0.0097861967086792
2023-02-21 12:28:05.974631,1.650043,-4901.885509490967,-9.80448055267334,-11403646.138469625,-9804.952621459961,-0.009807159423828125
2023-02-21 12:28:05.992632,1.668044,-4896.093368530273,-9.802116394042969,-11400896.372350847,-9798.333168029785,-0.009803297996520997
2023-02-21 12:28:05.999607,1.675019,-4903.224945068359,-9.781390190124512,-11376789.608712522,-9807.159423828125,-0.00980778980255127
2023-02-21 12:28:06.005631,1.681043,-4890.0251388549805,-9.747739791870117,-11337650.64239502,-9768.780708312988,-0.009757905006408692
2023-02-21 12:28:06.023650,1.699062,-4852.197647094727,-9.729141235351562,-11316018.557341203,-9716.6109085083,-0.009727091789245605
2023-02-21 12:28:06.030653,1.706065,-4868.274211883545,-9.736312866210938,-11324359.921283603,-9737.415313720703,-0.009739070892333983
2023-02-21 12:28:06.037609,1.713021,-4869.929313659668,-9.710779190063477,-11294661.559821656,-9724.649429321289,-0.009702898025512696
2023-02-21 12:28:06.044631,1.720043,-4864.3341064453125,-9.734420776367188,-11322159.221009439,-9732.686996459961,-0.009736391067504884
2023-02-21 12:28:06.055647,1.731059,-4867.249965667725,-9.758930206298828,-11350666.275972165,-9736.391067504883,-0.009740725517272949
2023-02-21 12:28:06.071669,1.747081,-4898.733139038086,-9.775400161743164,-11369822.573217547,-9801.721572875977,-0.009802194595336915
2023-02-21 12:28:06.077670,1.753082,-4889.079570770264,-9.798490524291992,-11396679.10297465,-9788.719177246094,-0.009796993255615234
2023-02-21 12:28:06.083658,1.75907,-4902.161121368408,-9.805819511413574,-11405203.488865254,-9807.08122253418,-0.009808815002441407
2023-02-21 12:28:06.103654,1.779066,-4897.314548492432,-9.773824691772461,-11367990.135287646,-9800.146102905273,-0.009795889854431153
