Time,Time Since Start,DMA Voltage,Electrometer Voltage,Electrometer Concentration,Electrospray Voltage,Electrospray Current
2023-02-21 12:43:47.347831,1.004151,-4834.8212242126465,-9.678389549255371,-11256988.987537645,-9674.68547821045,-0.009679965972900391
2023-02-21 12:43:47.354769,1.011089,-4842.347145080566,-9.665149688720703,-11241589.63173813,-9683.433532714844,-0.009683670043945313
2023-02-21 12:43:47.361766,1.018086,-4824.930667877197,-9.672873497009277,-11250573.236335138,-9660.65788269043,-0.00967113971710205
2023-02-21 12:43:47.367800,1.02412,-4839.943408966064,-9.680990219116211,-11260013.841190694,-9682.487487792969,-0.009683670043945313
2023-02-21 12:43:47.392767,1.049087,-4860.866546630859,-9.70872974395752,-11292277.837599287,-9730.401992797852,-0.009711803436279297
2023-02-21 12:43:47.399767,1.056087,-4864.412784576416,-9.747108459472656,-11336916.336154345,-9739.543914794922,-0.009746636390686035
2023-02-21 12:43:47.405768,1.062088,-4877.376556396484,-9.752152442932129,-11342783.021512238,-9753.886222839355,-0.009754832267761231
2023-02-21 12:43:47.411778,1.068098,-4877.967834472656,-9.719841957092285,-11305202.514814293,-9748.133659362793,-0.009718659400939942
2023-02-21 12:43:47.417766,1.074086,-4868.668556213379,-9.749000549316406,-11339117.036428511,-9745.453834533691,-0.009750497817993165
2023-02-21 12:43:47.423767,1.080087,-4877.455234527588,-9.753019332885742,-11343791.306063255,-9754.753112792969,-0.009756013870239258
2023-02-21 12:43:47.447838,1.104158,-4838.52481842041,-9.653014183044434,-11227474.75724783,-9657.663345336914,-0.009643793106079102
2023-02-21 12:43:47.454770,1.11109,-4836.042404174805,-9.679019927978516,-11257722.18455439,-9676.498413085938,-0.009680438041687011
2023-02-21 12:43:47.460792,1.117112,-4842.031955718994,-9.683038711547852,-11262396.454189135,-9685.088157653809,-0.009686034202575685
2023-02-21 12:43:47.466797,1.123117,-4839.352607727051,-9.660815238952637,-11236548.208983049,-9650.80738067627,-0.009653092384338379
2023-02-21 12:43:47.478836,1.135156,-4836.870193481445,-9.678783416748047,-11257447.09702012,-9677.206993103027,-0.00968067455291748
2023-02-21 12:43:47.484836,1.141156,-4834.9785804748535,-9.669011116027832,-11246080.879424669,-9646.866798400879,-0.009655850410461426
2023-02-21 12:43:47.508948,1.165268,-4866.737842559814,-9.747344970703125,-11337191.423688617,-9742.144584655762,-0.00974797534942627
2023-02-21 12:43:47.516770,1.17309,-4875.130653381348,-9.74174976348877,-11330683.606900044,-9753.413200378418,-0.009754989624023437
2023-02-21 12:43:47.522770,1.17909,-4860.551357269287,-9.74411392211914,-11333433.373018822,-9731.348037719727,-0.009741435050964356
2023-02-21 12:43:47.529800,1.18612,-4876.036643981934,-9.751837730407715,-11342416.97761583,-9753.413200378418,-0.009754359245300293
2023-02-21 12:43:47.535843,1.192163,-4877.928256988525,-9.688319206237793,-11268538.227081299,-9756.723403930664,-0.009736233711242676
2023-02-21 12:43:47.555778,1.212098,-4838.327884674072,-9.655299186706543,-11230132.457780542,-9654.983520507812,-0.009644659996032715
2023-02-21 12:43:47.563773,1.220093,-4836.239337921143,-9.67760181427002,-11256072.768572696,-9676.104545593262,-0.009679729461669923
2023-02-21 12:43:47.571776,1.228096,-4841.0468101501465,-9.642059326171875,-11214733.101981027,-9681.857109069824,-0.009663179397583007
2023-02-21 12:43:47.579771,1.236091,-4832.338809967041,-9.676576614379883,-11254880.352849545,-9672.40047454834,-0.00967736530303955
2023-02-21 12:43:47.586772,1.243092,-4840.731620788574,-9.71787166595459,-11302910.85817799,-9683.27522277832,-0.009701559066772461
2023-02-21 12:43:47.601772,1.258092,-4868.5503005981445,-9.749473571777344,-11339667.211497052,-9745.059967041016,-0.009750418663024903
2023-02-21 12:43:47.608774,1.265094,-4877.3369789123535,-9.715822219848633,-11300527.13595562,-9753.807067871094,-0.009731268882751465
2023-02-21 12:43:47.615771,1.272091,-4867.249965667725,-9.749000549316406,-11339117.036428511,-9743.64185333252,-0.009749788284301758
2023-02-21 12:43:47.632832,1.289152,-4860.1179122924805,-9.745453834533691,-11334991.83263838,-9735.051155090332,-0.009744272232055665
2023-02-21 12:43:47.638768,1.295088,-4875.012397766113,-9.698328018188477,-11280179.532211019,-9726.69792175293,-0.009711173057556153
2023-02-21 12:43:47.645768,1.302088,-4847.35107421875,-9.650650024414062,-11224724.991129052,-9683.748245239258,-0.009652541160583495
2023-02-21 12:43:47.664768,1.321088,-4831.826210021973,-9.658687591552734,-11234073.53039854,-9637.410163879395,-0.009648443222045899
2023-02-21 12:43:47.671811,1.328131,-4837.5396728515625,-9.678153038024902,-11256713.900003374,-9677.759170532227,-0.009680359840393067
2023-02-21 12:43:47.678823,1.335143,-4841.085910797119,-9.662076950073242,-11238015.712240469,-9681.936264038086,-0.00968327522277832
2023-02-21 12:43:47.685770,1.34209,-4824.970245361328,-9.691944122314453,-11272754.387233568,-9663.495063781738,-0.009672715187072755
2023-02-21 12:43:47.697772,1.354092,-4869.692802429199,-9.727564811706543,-11314185.010187374,-9744.11392211914,-0.009748527526855469
2023-02-21 12:43:47.712809,1.369129,-4871.308326721191,-9.749473571777344,-11339667.211497052,-9747.424125671387,-0.009750734329223633
2023-02-21 12:43:47.719770,1.37609,-4863.2307052612305,-9.73914909362793,-11327658.753246995,-9720.235824584961,-0.00973394775390625
2023-02-21 12:43:47.726773,1.383093,-4874.93371963501,-9.751601219177246,-11342141.89008156,-9751.522064208984,-0.009754043579101562
2023-02-21 12:43:47.744938,1.401258,-4839.155197143555,-9.679413795471191,-11258180.294036865,-9679.807662963867,-0.009681936264038087
2023-02-21 12:43:47.752772,1.409092,-4841.7558670043945,-9.6443452835083,-11217391.911737667,-9683.984756469727,-0.009661051750183105
2023-02-21 12:43:47.759773,1.416093,-4833.284378051758,-9.677443504333496,-11255888.637400562,-9672.715187072754,-0.009677916526794433
2023-02-21 12:43:47.765808,1.422128,-4839.667797088623,-9.680596351623535,-11259555.73170822,-9682.408332824707,-0.00968359088897705
2023-02-21 12:43:47.776946,1.433266,-4828.043460845947,-9.674921989440918,-11252955.849333579,-9666.88346862793,-0.009674607276916504
2023-02-21 12:43:47.783942,1.440262,-4840.061664581299,-9.682644844055176,-11261938.34470666,-9682.960510253906,-0.00968453598022461
2023-02-21 12:43:47.808930,1.46525,-4864.255428314209,-9.733790397644043,-11321426.023992693,-9709.518432617188,-0.009725043296813965
2023-02-21 12:43:47.815772,1.472092,-4872.05696105957,-9.751601219177246,-11342141.89008156,-9750.340461730957,-0.00975349235534668
2023-02-21 12:43:47.822783,1.479103,-4878.361701965332,-9.727485656738281,-11314092.944601309,-9754.595756530762,-0.0097550687789917
2023-02-21 12:43:47.829809,1.486129,-4862.915515899658,-9.746399879455566,-11336092.182775462,-9736.86408996582,-0.009745217323303223
2023-02-21 12:43:47.836811,1.493131,-4876.312732696533,-9.713616371154785,-11297961.501008976,-9754.359245300293,-0.009734657287597656
2023-02-21 12:43:47.843809,1.500129,-4849.636554718018,-9.660106658935547,-11235724.055604165,-9670.351028442383,-0.00965317153930664
2023-02-21 12:43:47.857770,1.51409,-4836.672782897949,-9.67760181427002,-11256072.768572696,-9677.443504333496,-0.00968122673034668
2023-02-21 12:43:47.864774,1.521094,-4822.526931762695,-9.671690940856934,-11249197.798663786,-9655.141830444336,-0.009667593002319336
2023-02-21 12:43:47.888776,1.545096,-4833.993434906006,-9.730008125305176,-11317026.841892218,-9693.757057189941,-0.009717950820922852
2023-02-21 12:43:47.895774,1.552094,-4872.372150421143,-9.712906837463379,-11297136.238406163,-9749.000549316406,-0.009746399879455567
