Time,Time Since Start,DMA Voltage,Electrometer Voltage,Electrometer Concentration,Electrospray Voltage,Electrospray Current
2023-02-21 12:19:11.257885,1.000176,-4815.158843994141,-9.663652420043945,-11239848.150170367,-9644.423484802246,-0.009658687591552735
2023-02-21 12:19:11.263909,1.0062,-4837.027549743652,-9.708572387695312,-11292094.815651082,-9676.813125610352,-0.00969139289855957
2023-02-21 12:19:11.269915,1.012206,-4865.594863891602,-9.73394775390625,-11321609.045940896,-9739.543914794922,-0.009744823455810547
2023-02-21 12:19:11.279915,1.022206,-4866.146564483643,-9.744193077087402,-11333525.438604888,-9739.14909362793,-0.009744586944580079
2023-02-21 12:19:11.298117,1.040408,-4864.924907684326,-9.744193077087402,-11333525.438604888,-9736.784934997559,-0.009743877410888672
2023-02-21 12:19:11.304139,1.04643,-4875.248908996582,-9.750418663024902,-11340766.452410206,-9752.625465393066,-0.00975349235534668
2023-02-21 12:19:11.310161,1.052452,-4873.869895935059,-9.731189727783203,-11318401.170339644,-9718.344688415527,-0.009723546028137207
2023-02-21 12:19:11.328127,1.070418,-4834.663391113281,-9.6567964553833,-11231873.939348305,-9641.271591186523,-0.00964820671081543
2023-02-21 12:19:11.334125,1.076416,-4835.254669189453,-9.677522659301758,-11255980.702986628,-9675.868034362793,-0.009679019927978516
2023-02-21 12:19:11.340123,1.082414,-4841.795444488525,-9.679886817932129,-11258730.469105406,-9682.330131530762,-0.0096828031539917
2023-02-21 12:19:11.359212,1.101503,-4834.860324859619,-9.669563293457031,-11246723.120079277,-9673.818588256836,-0.00967736530303955
2023-02-21 12:19:11.366126,1.108417,-4822.211742401123,-9.720078468322754,-11305477.602348564,-9676.025390625,-0.009705341339111329
2023-02-21 12:19:11.372152,1.114443,-4869.73237991333,-9.746320724487305,-11336000.117189396,-9744.586944580078,-0.009748133659362793
2023-02-21 12:19:11.379127,1.121418,-4875.603675842285,-9.719605445861816,-11304927.427280024,-9751.442909240723,-0.009749630928039552
2023-02-21 12:19:11.391200,1.133491,-4869.653701782227,-9.746557235717773,-11336275.204723665,-9743.64185333252,-0.009747897148132324
2023-02-21 12:19:11.397123,1.139414,-4876.036643981934,-9.71267032623291,-11296861.150871893,-9752.309799194336,-0.009740725517272949
2023-02-21 12:19:11.424171,1.166462,-4833.284378051758,-9.674842834472656,-11252863.783747513,-9671.297073364258,-0.009676182746887207
