Time,DMA Voltage,Electrometer Concentration,Time Since Start,Electrometer Voltage,DMA Set Voltage
2023-02-21 12:28:05.325158,-4879.891304969788,-11351946.475677015,1.4899051000000003,-9.760030879974366,0
2023-02-21 12:28:06.377604,-4882.382369041443,-11354431.325844955,2.4941535299999997,-9.76216727256775,1
2023-02-21 12:28:07.367834,-4881.762571334839,-11354951.951188033,3.4931829700000003,-9.762614889144897,2
2023-02-21 12:28:08.893911,-4881.059985160828,-11351341.482761921,4.895972689999998,-9.759510726928712,3
2023-02-21 12:28:09.603890,-4882.012786865234,-11351728.25805356,5.612360949999999,-9.759843263626099,4
2023-02-21 12:28:10.386801,-4881.28342628479,-11355747.553143,6.504035709999999,-9.763298921585083,5
2023-02-21 12:28:11.370803,-4880.622663497925,-11351564.192742296,7.494600619999997,-9.759702205657959,6
2023-02-21 12:28:12.355910,-4880.676627159119,-11353674.302698221,8.492862050000005,-9.761516408920288,7
2023-02-21 12:28:13.394911,-4881.1703634262085,-11350897.859743962,9.50267609,-9.759129314422607,8
2023-02-21 12:28:14.352912,-4880.816869735718,-11353357.1312081,10.491640280000002,-9.761243715286255,9
2023-02-21 12:28:15.364077,-4880.232934951782,-11352200.365942013,11.49263456,-9.760249166488647,10
2023-02-21 12:28:16.351491,-4881.253080368042,-11352796.174482977,12.491917500000001,-9.760761423110962,11
2023-02-21 12:28:17.365026,-4879.714794158936,-11353198.478909602,13.493608779999997,-9.761107311248779,12
2023-02-21 12:28:18.349167,-4881.816563606262,-11352827.243845213,14.49244664999999,-9.760788135528564,13
2023-02-21 12:28:19.354259,-4880.5726146698,-11353120.65575878,15.492553090000003,-9.76104040145874,14
2023-02-21 12:28:20.357902,-4881.6108751297,-11354138.912232911,16.49305826999999,-9.761915864944458,15
2023-02-21 12:28:21.349178,-4880.673861503601,-11351374.50435828,17.49250231000001,-9.75953911781311,16
2023-02-21 12:28:22.367226,-4881.9844007492065,-11355311.284279672,18.494882259999997,-9.762923831939696,17
2023-02-21 12:28:23.360096,-4881.490688323975,-11353938.24253201,19.493356939999998,-9.761743335723876,18
