Time,DMA Voltage,Electrometer Concentration,Time Since Start,Electrometer Voltage,DMA Set Voltage
2023-02-21 12:19:38.270886,-4845.874805450439,-11273916.787357211,1.4907915599999995,-9.692943515777587,0
2023-02-21 12:19:39.331218,-4847.106165885925,-11278162.552696133,2.4980347899999997,-9.696593885421754,1
2023-02-21 12:19:40.309154,-4846.761794090271,-11272005.727635257,3.4949172799999992,-9.691300449371338,2
2023-02-21 12:19:41.310190,-4845.975332260132,-11272557.533262977,4.49480471,-9.69177487373352,3
