Time,DMA Voltage,Electrometer Concentration,Time Since Start,Electrometer Voltage,DMA Set Voltage
2023-02-21 12:42:57.286369,-4856.522355079651,-11300878.80430992,1.4923434500000001,-9.716124572753905,10
2023-02-21 12:42:58.330384,-4855.851335525513,-11295909.869338563,2.4955013700000004,-9.711852445602418,10
2023-02-21 12:42:59.319665,-4855.802102088928,-11296457.970158363,3.4946830099999984,-9.712323684692382,10
2023-02-21 12:43:00.325972,-4856.347432136536,-11294106.892396206,4.495469699999998,-9.710302305221557,10
2023-02-21 12:43:01.314972,-4855.231533050537,-11293545.858025404,5.493032940000002,-9.709819946289063,10
2023-02-21 12:43:02.316967,-4854.798893928528,-11292762.22459663,6.49374029,-9.70914620399475,10
2023-02-21 12:43:03.311978,-4855.297737121582,-11296933.68302458,7.493411309999998,-9.71273268699646,20
2023-02-21 12:43:04.313968,-4856.191411018372,-11296946.505653191,8.493492280000003,-9.712743711471557,20
2023-02-21 12:43:05.320110,-4856.4222955703735,-11293825.46010106,9.49548229,-9.710060338974,20
2023-02-21 12:43:06.844110,-4855.926580429077,-11294669.657156333,10.885633430000002,-9.710786151885987,20
2023-02-21 12:43:07.541111,-4856.839175224304,-11294890.503640499,11.637830509999997,-9.710976028442383,20
2023-02-21 12:43:08.324289,-4855.467944145203,-11292947.409531493,12.494227689999997,-9.709305419921876,20
2023-02-21 12:43:09.313277,-4855.312714576721,-11294352.507850695,13.492979840000006,-9.71051347732544,20
2023-02-21 12:43:10.336277,-4855.421061515808,-11294116.964149473,14.4974829,-9.71031096458435,20
2023-02-21 12:43:11.313278,-4854.582161903381,-11291905.138359314,15.493203849999997,-9.708409309387207,20
2023-02-21 12:43:12.331330,-4854.5880651474,-11294452.47111113,16.49603082,-9.710599422454834,20
2023-02-21 12:43:13.318447,-4855.706300735474,-11296407.533746328,17.494715409999998,-9.712280321121217,20
2023-02-21 12:43:14.327758,-4854.711394309998,-11288864.822124701,18.496029270000008,-9.705795345306397,20
2023-02-21 12:43:15.321759,-4855.230355262756,-11294355.258726042,19.494953690000003,-9.710515842437744,20
2023-02-21 12:43:16.320098,-4854.920606613159,-11291339.62272384,20.494633469999993,-9.707923097610474,20
2023-02-21 12:43:17.314737,-4854.622745513916,-11294754.945384197,21.494666530000003,-9.710859479904174,20
2023-02-21 12:43:18.317606,-4853.578176498413,-11288149.916210532,22.49442337,-9.70518069267273,20
2023-02-21 12:43:19.320632,-4853.995032310486,-11292159.028624302,23.493577519999995,-9.70862759590149,20
2023-02-21 12:43:20.316605,-4853.963952064514,-11291432.198552907,24.493681579999997,-9.708002691268922,20
2023-02-21 12:43:21.314672,-4853.9040184021,-11291322.196815914,25.494250889999993,-9.707908115386964,20
2023-02-21 12:43:22.333887,-4853.932409286499,-11292886.868089475,26.496933379999994,-9.709253368377686,20
2023-02-21 12:43:23.322887,-4855.584979057312,-11292610.0279814,27.49500931,-9.709015350341797,20
2023-02-21 12:43:24.336886,-4853.1825494766235,-11287690.608766215,28.497081950000002,-9.704785795211793,20
2023-02-21 12:43:25.314886,-4854.218463897705,-11292855.64343589,29.49373016999999,-9.709226522445679,20
2023-02-21 12:43:26.318886,-4852.904763221741,-11288654.846035028,30.495032349999995,-9.7056148147583,20
2023-02-21 12:43:27.317888,-4852.044219970703,-11287307.538282499,31.494753099999993,-9.70445644378662,20
2023-02-21 12:43:28.313890,-4853.5029220581055,-11290249.832398552,32.49445312999999,-9.70698613166809,20
2023-02-21 12:43:29.324957,-4854.528179168701,-11289292.849454232,33.49555855000002,-9.70616334915161,20
2023-02-21 12:43:30.335117,-4854.0514087677,-11288506.387504436,34.49768727,-9.705487174987793,20
2023-02-21 12:43:31.318117,-4852.214403152466,-11287724.539926182,35.49381979999999,-9.704814968109131,20
2023-02-21 12:43:32.321117,-4853.557677268982,-11288248.858984953,36.49507842999998,-9.705265760421753,20
2023-02-21 12:43:33.339249,-4852.719149589539,-11287732.803644452,37.49789624,-9.704822072982788,20
2023-02-21 12:43:34.318261,-4852.757415771484,-11288676.9195912,38.49399402000001,-9.705633792877197,20
2023-02-21 12:43:35.323337,-4853.820505142212,-11288987.6464903,39.49411782000001,-9.705900945663451,20
2023-02-21 12:43:36.318430,-4853.536787033081,-11292728.28234442,40.49373260999999,-9.709117021560669,20
2023-02-21 12:43:37.334429,-4853.41344833374,-11286534.775248228,41.49634945,-9.70379204750061,20
2023-02-21 12:43:38.314430,-4854.2862367630005,-11288644.763189517,42.49340305,-9.705606145858765,20
2023-02-21 12:43:39.336432,-4853.291311264038,-11286824.449077154,43.49674767999997,-9.70404109954834,20
2023-02-21 12:43:40.318610,-4851.746745109558,-11286625.565226777,44.49381064999999,-9.703870105743409,20
2023-02-21 12:43:41.333657,-4853.00838470459,-11288145.301838983,45.49633905,-9.705176725387574,20
2023-02-21 12:43:42.321965,-4853.243613243103,-11290638.371356227,46.4953268,-9.707320184707642,20
2023-02-21 12:43:43.321967,-4852.831468582153,-11286539.345250813,47.49498886999998,-9.703795976638794,20
2023-02-21 12:43:44.329956,-4853.565158843994,-11286983.01263774,48.496798180000006,-9.70417742729187,20
2023-02-21 12:43:45.317234,-4853.451690673828,-11288444.082396373,49.49349313,-9.70543360710144,20
