Time,Time Since Start,DMA Voltage,Electrometer Voltage,Electrometer Concentration,Electrospray Voltage,Electrospray Current
2023-02-21 12:22:01.334805,1.001096,-4845.656871795654,-9.72543716430664,-11311710.331602866,-9708.335876464844,-0.009721890449523925
2023-02-21 12:22:01.341807,1.008098,-4866.973876953125,-9.735681533813477,-11323625.615042929,-9736.154556274414,-0.00973820400238037
2023-02-21 12:22:01.348864,1.015155,-4868.274211883545,-9.704710960388184,-11287603.567964543,-9734.657287597656,-0.009707154273986817
2023-02-21 12:22:01.355844,1.022135,-4862.560749053955,-9.73292350769043,-11320417.739441676,-9730.481147766113,-0.00973418426513672
2023-02-21 12:22:01.382808,1.049099,-4897.3541259765625,-9.7924222946167,-11389621.111117534,-9800.382614135742,-0.00980416488647461
2023-02-21 12:22:01.389823,1.056114,-4886.8727684021,-9.796442031860352,-11394296.489976207,-9784.542083740234,-0.009794235229492188
2023-02-21 12:22:01.395878,1.062169,-4901.727676391602,-9.80416488647461,-11403278.985349288,-9804.874420166016,-0.009807238578796387
2023-02-21 12:22:01.402808,1.069099,-4904.407501220703,-9.769174575805664,-11362581.559412228,-9807.948112487793,-0.009790531158447266
2023-02-21 12:22:01.408880,1.075171,-4894.2413330078125,-9.791004180908203,-11387971.69513584,-9796.126365661621,-0.009802037239074708
2023-02-21 12:22:01.415808,1.082099,-4885.415077209473,-9.74569034576416,-11335266.92017265,-9759.324073791504,-0.009752861976623535
2023-02-21 12:22:01.437870,1.104161,-4864.53104019165,-9.696515083312988,-11278070.89752292,-9731.505393981934,-0.009721890449523925
2023-02-21 12:22:01.444833,1.111124,-4857.635498046875,-9.732056617736816,-11319409.45489066,-9724.019050598145,-0.00973189926147461
2023-02-21 12:22:01.450884,1.117175,-4869.495868682861,-9.737651824951172,-11325917.271679232,-9740.410804748535,-0.00974104118347168
2023-02-21 12:22:01.456886,1.123177,-4871.229648590088,-9.70179557800293,-11284212.670415085,-9739.779472351074,-0.009717083930969239
2023-02-21 12:22:01.467809,1.1341,-4891.404151916504,-9.800382614135742,-11398879.803248813,-9793.76220703125,-0.009800303459167482
2023-02-21 12:22:01.473875,1.140166,-4903.658390045166,-9.771065711975098,-11364781.150462465,-9807.395935058594,-0.009800382614135742
2023-02-21 12:22:01.500813,1.167104,-4893.768310546875,-9.801170349121094,-11399796.022213764,-9796.756744384766,-0.00980180072784424
2023-02-21 12:22:01.507810,1.174101,-4903.501033782959,-9.792501449584961,-11389713.176703602,-9807.159423828125,-0.009808499336242676
2023-02-21 12:22:01.515814,1.182105,-4867.013454437256,-9.735603332519531,-11323534.658680791,-9734.814643859863,-0.009737888336181642
2023-02-21 12:22:01.522815,1.189106,-4870.284080505371,-9.737415313720703,-11325642.184144963,-9739.701271057129,-0.009740882873535157
2023-02-21 12:22:01.529814,1.196105,-4869.4562911987305,-9.71298599243164,-11297228.30399223,-9719.289779663086,-0.009704317092895508
2023-02-21 12:22:01.536809,1.2031,-4865.279674530029,-9.735130310058594,-11322984.48361225,-9734.026908874512,-0.009737415313720703
2023-02-21 12:22:01.547880,1.214171,-4865.358352661133,-9.709833145141602,-11293561.209684573,-9716.925621032715,-0.009700849533081054
2023-02-21 12:22:01.554807,1.221098,-4864.412784576416,-9.735051155090332,-11322892.418026183,-9732.845306396484,-0.009736627578735352
2023-02-21 12:22:01.578913,1.245204,-4897.866249084473,-9.803140640258789,-11402087.678850068,-9800.382614135742,-0.009804795265197754
2023-02-21 12:22:01.586815,1.253106,-4887.779235839844,-9.79431438446045,-11391821.8113917,-9777.528762817383,-0.00979013729095459
2023-02-21 12:22:01.592811,1.259102,-4901.767253875732,-9.805347442626953,-11404654.42302064,-9805.819511413574,-0.009808183670043946
2023-02-21 12:22:01.599808,1.266099,-4905.07698059082,-9.786748886108398,-11383022.337966824,-9810.70613861084,-0.009810942649841309
2023-02-21 12:22:01.605808,1.272099,-4890.143394470215,-9.799830436706543,-11398237.562594207,-9789.822578430176,-0.009798254013061523
2023-02-21 12:22:01.625811,1.292102,-4858.226776123047,-9.73166275024414,-11318951.345408184,-9724.649429321289,-0.009731662750244141
2023-02-21 12:22:01.632809,1.2991,-4868.905067443848,-9.737967491149902,-11326284.424799569,-9739.307403564453,-0.009740962028503417
