Time,Time Since Start,DMA Voltage,Electrometer Voltage,Electrometer Concentration,Electrospray Voltage,Electrospray Current
2023-02-21 12:18:09.411553,1.001184,-616.1435842514038,-3.1585581302642822,-3673736.6178465188,-2414.1504764556885,-0.0032087578773498534
2023-02-21 12:18:09.427210,1.016841,-1820.6243515014648,-6.097651958465576,-7092213.079144496,-5108.392238616943,-0.006093947887420655
2023-02-21 12:18:09.433211,1.022842,-3221.2154865264893,-8.60417652130127,-10007565.809806682,-7579.05912399292,-0.008500151634216309
2023-02-21 12:18:09.438210,1.027841,-4497.055530548096,-9.752625465393066,-11343333.19658078,-9635.991096496582,-0.009778237342834473
2023-02-21 12:18:09.444213,1.033844,-4869.062423706055,-9.690526008605957,-11271104.971251873,-9723.782539367676,-0.009695096969604492
2023-02-21 12:18:09.466209,1.05584,-4837.342739105225,-9.74624252319336,-11335909.160827257,-9699.509620666504,-0.009730875015258789
2023-02-21 12:18:09.472212,1.061843,-4883.4052085876465,-9.777213096618652,-11371931.207905645,-9773.666381835938,-0.00977839469909668
2023-02-21 12:18:09.478210,1.067841,-4891.955852508545,-9.759797096252441,-11351674.560523182,-9783.675193786621,-0.009783517837524413
2023-02-21 12:18:09.484212,1.073843,-4877.25830078125,-9.7737455368042,-11367898.06970158,-9763.501167297363,-0.009772248268127441
2023-02-21 12:18:09.497276,1.086907,-4887.542724609375,-9.743799209594727,-11333067.329122413,-9778.237342834473,-0.009764998435974122
2023-02-21 12:18:09.503216,1.092847,-4880.252838134766,-9.777449607849121,-11372206.295439916,-9770.435333251953,-0.009777055740356446
2023-02-21 12:18:09.513216,1.102847,-4889.079570770264,-9.753255844116211,-11344066.393597526,-9779.656410217285,-0.009782493591308594
2023-02-21 12:18:09.529226,1.118857,-4854.207515716553,-9.712433815002441,-11296586.063337622,-9710.936546325684,-0.009714089393615722
2023-02-21 12:18:09.536210,1.125841,-4853.931427001953,-9.694387435913086,-11275596.218938412,-9682.8031539917,-0.009687531471252443
2023-02-21 12:18:09.542214,1.131845,-4854.9957275390625,-9.713143348693848,-11297411.325940434,-9712.355613708496,-0.009715350151062011
2023-02-21 12:18:09.559209,1.14884,-4847.902774810791,-9.709439277648926,-11293103.100202098,-9703.213691711426,-0.009709518432617189
2023-02-21 12:18:09.565267,1.154898,-4858.384132385254,-9.746636390686035,-11336367.270309733,-9717.083930969238,-0.009731741905212404
2023-02-21 12:18:09.575275,1.164906,-4874.382019042969,-9.773824691772461,-11367990.135287646,-9762.002944946289,-0.00977146053314209
2023-02-21 12:18:09.581210,1.170841,-4891.010284423828,-9.78233528137207,-11377888.849625677,-9783.754348754883,-0.009785408973693847
2023-02-21 12:18:09.606279,1.19591,-4887.227535247803,-9.748370170593262,-11338383.839411765,-9773.666381835938,-0.009750261306762696
2023-02-21 12:18:09.612234,1.201865,-4884.232997894287,-9.779498100280762,-11374588.908438357,-9774.691581726074,-0.009779892921447753
