Time,Time Since Start,DMA Voltage,Electrometer Voltage,Electrometer Concentration,Electrospray Voltage,Electrospray Current
2023-02-21 12:28:34.512862,1.001962,-4869.653701782227,-9.715428352355957,-11300069.026473146,-9734.579086303711,-0.009710148811340334
2023-02-21 12:28:34.519865,1.008965,-4867.092132568359,-9.743483543395996,-11332700.176002076,-9740.48900604248,-0.009744508743286133
2023-02-21 12:28:34.526871,1.015971,-4874.1455078125,-9.746872901916504,-11336642.357844003,-9749.551773071289,-0.009750340461730957
2023-02-21 12:28:34.533870,1.02297,-4857.320308685303,-9.734342575073242,-11322068.2646473,-9719.289779663086,-0.009731032371520997
2023-02-21 12:28:34.551896,1.040996,-4850.227832794189,-9.739543914794922,-11328117.971953398,-9713.9310836792,-0.009727170944213867
2023-02-21 12:28:34.557863,1.046963,-4889.394760131836,-9.806371688842773,-11405845.729519863,-9794.156074523926,-0.009804322242736817
2023-02-21 12:28:34.563864,1.052964,-4907.205104827881,-9.811020851135254,-11411253.196171353,-9815.040588378906,-0.009816852569580078
2023-02-21 12:28:34.582865,1.071965,-4902.831077575684,-9.796520233154297,-11394387.446338346,-9809.996604919434,-0.00981354331970215
2023-02-21 12:28:34.588999,1.078099,-4890.852451324463,-9.806608200073242,-11406120.817054132,-9794.708251953125,-0.009804637908935546
2023-02-21 12:28:34.594998,1.084098,-4907.914161682129,-9.8143310546875,-11415103.312427213,-9816.064834594727,-0.009817089080810547
2023-02-21 12:28:34.612077,1.101177,-4871.82092666626,-9.745926856994629,-11335542.00770692,-9744.744300842285,-0.009747424125671388
2023-02-21 12:28:34.618089,1.107189,-4875.682353973389,-9.731189727783203,-11318401.170339644,-9750.970840454102,-0.009750970840454102
2023-02-21 12:28:34.623998,1.113098,-4858.187198638916,-9.739858627319336,-11328484.015849806,-9727.880477905273,-0.009737494468688965
2023-02-21 12:28:34.644086,1.133186,-4859.842300415039,-9.738834381103516,-11327292.709350586,-9729.6142578125,-0.009737573623657226
2023-02-21 12:28:34.650000,1.1391,-4873.436450958252,-9.746399879455566,-11336092.182775462,-9747.660636901855,-0.009749394416809082
2023-02-21 12:28:34.656079,1.145179,-4881.0014724731445,-9.7675199508667,-11360657.055896262,-9781.231880187988,-0.009770120620727539
2023-02-21 12:28:34.662078,1.151178,-4896.723747253418,-9.809208869934082,-11409145.670707181,-9801.958084106445,-0.00980912971496582
2023-02-21 12:28:34.676081,1.165181,-4900.979042053223,-9.79305362701416,-11390355.417358208,-9779.340744018555,-0.00978359603881836
2023-02-21 12:28:34.681999,1.171099,-4904.1314125061035,-9.814251899719238,-11415011.246841146,-9812.439918518066,-0.009816064834594728
2023-02-21 12:28:34.692069,1.181169,-4905.07698059082,-9.77902603149414,-11374039.842593744,-9812.75463104248,-0.0097924222946167
2023-02-21 12:28:34.708998,1.198098,-4883.563041687012,-9.73686408996582,-11325001.052714283,-9760.978698730469,-0.009757905006408692
2023-02-21 12:28:34.714038,1.203138,-4860.039234161377,-9.739228248596191,-11327750.81883306,-9728.03783416748,-0.009737337112426758
2023-02-21 12:28:34.724033,1.213133,-4870.4023361206055,-9.745453834533691,-11334991.83263838,-9744.35043334961,-0.009747344970703125
2023-02-21 12:28:34.740159,1.229259,-4867.9986000061035,-9.744035720825195,-11333342.416656684,-9741.198539733887,-0.009745453834533692
