Time,Time Since Start,DMA Voltage,Electrometer Voltage,Electrometer Concentration,Electrospray Voltage,Electrospray Current
2023-02-21 12:32:07.878417,1.000963,-4865.397930145264,-9.708651542663574,-11292186.88123715,-9724.176406860352,-0.009702583312988282
2023-02-21 12:32:07.885433,1.007979,-4864.176273345947,-9.737730979919434,-11326009.3372653,-9735.051155090332,-0.009739070892333983
2023-02-21 12:32:07.891489,1.014035,-4871.584415435791,-9.7415132522583,-11330408.519365773,-9742.459297180176,-0.009743720054626464
2023-02-21 12:32:07.897485,1.020031,-4870.874881744385,-9.721418380737305,-11307036.061968122,-9717.162132263184,-0.009710148811340334
2023-02-21 12:32:07.923460,1.046006,-4897.196292877197,-9.80652904510498,-11406028.751468066,-9801.958084106445,-0.009807002067565917
2023-02-21 12:32:07.929483,1.052029,-4906.062126159668,-9.809366226196289,-11409328.692655386,-9811.887741088867,-0.009813858032226563
2023-02-21 12:32:07.935468,1.058014,-4888.882160186768,-9.79998779296875,-11398420.58454241,-9784.857749938965,-0.009795811653137207
2023-02-21 12:32:07.942418,1.064964,-4905.116558074951,-9.810784339904785,-11410978.108637081,-9811.73038482666,-0.009813148498535157
2023-02-21 12:32:07.947475,1.070021,-4906.771659851074,-9.80810546875,-11407862.298621895,-9815.197944641113,-0.00981637954711914
2023-02-21 12:32:07.970470,1.093016,-4860.748291015625,-9.720551490783691,-11306027.777417107,-9700.849533081055,-0.009712433815002442
2023-02-21 12:32:07.976454,1.099,-4867.604732513428,-9.739701271057129,-11328300.993901603,-9739.14909362793,-0.009742538452148437
2023-02-21 12:32:07.982418,1.104964,-4871.899604797363,-9.743562698364258,-11332792.241588142,-9745.611190795898,-0.009746557235717773
2023-02-21 12:32:07.988476,1.111022,-4868.392467498779,-9.724884986877441,-11311068.09094826,-9709.596633911133,-0.009718265533447266
2023-02-21 12:32:08.002421,1.124967,-4873.948574066162,-9.778473854064941,-11373397.601939136,-9771.932601928711,-0.009788719177246094
2023-02-21 12:32:08.008469,1.131015,-4886.754512786865,-9.801170349121094,-11399796.022213764,-9786.669731140137,-0.009797702789306641
2023-02-21 12:32:08.017468,1.140014,-4902.75239944458,-9.810233116149902,-11410336.977206402,-9809.208869934082,-0.009812360763549804
2023-02-21 12:32:08.034461,1.157007,-4901.0186195373535,-9.809602737426758,-11409603.780189656,-9807.002067565918,-0.009811257362365723
2023-02-21 12:32:08.040480,1.163026,-4907.322883605957,-9.783990859985352,-11379814.462365571,-9802.116394042969,-0.009778079986572267
2023-02-21 12:32:08.047451,1.169997,-4900.033473968506,-9.800382614135742,-11398879.803248813,-9806.76555633545,-0.009811100006103515
2023-02-21 12:32:08.066446,1.188992,-4862.758159637451,-9.738755226135254,-11327200.64376452,-9733.396530151367,-0.009739228248596191
2023-02-21 12:32:08.072467,1.195013,-4872.569561004639,-9.741986274719238,-11330958.694434315,-9744.35043334961,-0.009745532989501954
2023-02-21 12:32:08.079447,1.201993,-4856.098651885986,-9.731348037719727,-11318585.301511776,-9713.458061218262,-0.00972646141052246
2023-02-21 12:32:08.097481,1.220027,-4848.454475402832,-9.738282203674316,-11326650.468695978,-9709.202766418457,-0.00972409725189209
2023-02-21 12:32:08.104444,1.22699,-4889.946460723877,-9.803140640258789,-11402087.678850068,-9792.974472045898,-0.009801721572875977
2023-02-21 12:32:08.111423,1.233969,-4905.313491821289,-9.775952339172363,-11370464.813872153,-9812.04605102539,-0.009807238578796387
2023-02-21 12:32:08.117468,1.240014,-4894.911289215088,-9.806608200073242,-11406120.817054132,-9800.30345916748,-0.009806765556335448
2023-02-21 12:32:08.127448,1.249994,-4904.091835021973,-9.803691864013672,-11402728.810280746,-9809.917449951172,-0.009812439918518066
2023-02-21 12:32:08.143465,1.266011,-4901.530742645264,-9.808656692504883,-11408503.430052573,-9807.002067565918,-0.009810626983642578
2023-02-21 12:32:08.150444,1.27299,-4900.230407714844,-9.750497817993164,-11340858.517996272,-9771.381378173828,-0.009759324073791504
2023-02-21 12:32:08.157423,1.279969,-4875.721454620361,-9.745611190795898,-11335174.854586583,-9748.684883117676,-0.009748684883117675
2023-02-21 12:32:08.174421,1.296967,-4863.585472106934,-9.738282203674316,-11326650.468695978,-9733.869552612305,-0.00973914909362793
2023-02-21 12:32:08.181444,1.30399,-4870.835781097412,-9.737100601196289,-11325276.140248554,-9743.877410888672,-0.009745217323303223
2023-02-21 12:32:08.188423,1.310969,-4855.310916900635,-9.733553886413574,-11321150.936458422,-9719.841957092285,-0.00973063850402832
2023-02-21 12:32:08.205420,1.327966,-4874.2241859436035,-9.793920516967773,-11391363.701909225,-9767.677307128906,-0.009786355018615722
2023-02-21 12:32:08.212420,1.334966,-4902.988910675049,-9.809287071228027,-11409236.627069319,-9808.499336242676,-0.009811414718627929
2023-02-21 12:32:08.219421,1.341967,-4906.968593597412,-9.775715827941895,-11370189.726337884,-9814.3310546875,-0.009804874420166015
2023-02-21 12:32:08.237428,1.359974,-4902.515888214111,-9.77666187286377,-11371290.076474966,-9808.026313781738,-0.009806135177612304
2023-02-21 12:32:08.243459,1.366005,-4894.713878631592,-9.806135177612305,-11405570.641985592,-9798.885345458984,-0.009805977821350098
2023-02-21 12:32:08.250420,1.372966,-4906.1408042907715,-9.770357131958008,-11363956.99708358,-9810.863494873047,-0.00979013729095459
2023-02-21 12:32:08.268466,1.391012,-4867.722988128662,-9.740174293518066,-11328851.168970143,-9738.991737365723,-0.009742222785949706
2023-02-21 12:32:08.275420,1.397966,-4872.687816619873,-9.718817710876465,-11304011.208315073,-9720.708847045898,-0.009710227012634277
2023-02-21 12:32:08.282421,1.404967,-4866.737842559814,-9.7415132522583,-11330408.519365773,-9739.622116088867,-0.009743168830871582
