Time,Time Since Start,DMA Voltage,Electrometer Voltage,Electrometer Concentration,Electrospray Voltage,Electrospray Current
2023-02-21 12:18:42.471626,1.000966,-4841.440677642822,-9.653328895568848,-11227840.801144239,-9687.846183776855,-0.009679413795471192
2023-02-21 12:18:42.478627,1.007967,-4834.308624267578,-9.686821937561035,-11266796.745513536,-9679.099082946777,-0.009686585426330567
2023-02-21 12:18:42.484704,1.014044,-4846.878528594971,-9.690683364868164,-11271287.993200077,-9694.623947143555,-0.009694544792175293
2023-02-21 12:18:42.491662,1.021002,-4846.7206954956055,-9.66822338104248,-11245164.66045972,-9667.356491088867,-0.009659476280212402
2023-02-21 12:18:42.507675,1.037015,-4841.835021972656,-9.654274940490723,-11228941.151281321,-9687.688827514648,-0.00968091106414795
2023-02-21 12:18:42.513626,1.042966,-4833.3234786987305,-9.710700035095215,-11294569.49423559,-9676.971435546875,-0.009689186096191406
2023-02-21 12:18:42.536666,1.066006,-4873.436450958252,-9.757590293884277,-11349107.816352608,-9753.49235534668,-0.00975837802886963
2023-02-21 12:18:42.542764,1.072104,-4881.474494934082,-9.742932319641113,-11332059.044571396,-9763.185501098633,-0.009764603614807129
2023-02-21 12:18:42.549635,1.078975,-4867.053031921387,-9.755462646484375,-11346633.1377681,-9745.611190795898,-0.009753965377807618
2023-02-21 12:18:42.555630,1.08497,-4881.277561187744,-9.76231861114502,-11354607.348590164,-9763.65852355957,-0.009765313148498534
2023-02-21 12:18:42.561707,1.091047,-4882.814407348633,-9.729771614074707,-11316751.754357949,-9766.495704650879,-0.009760584831237793
2023-02-21 12:18:42.583705,1.113045,-4829.068183898926,-9.67736530303955,-11255797.681038424,-9654.983520507812,-0.009671217918395997
2023-02-21 12:18:42.590627,1.119967,-4844.474792480469,-9.691156387329102,-11271838.16826862,-9691.629409790039,-0.00969367790222168
2023-02-21 12:18:42.597628,1.126968,-4847.311973571777,-9.655062675476074,-11229857.37024627,-9694.860458374023,-0.009680596351623535
2023-02-21 12:18:42.604671,1.134011,-4837.50057220459,-9.688240051269531,-11268446.161495233,-9682.723999023438,-0.00968871307373047
2023-02-21 12:18:42.611690,1.14103,-4846.090316772461,-9.693363189697266,-11274404.912439192,-9693.914413452148,-0.009695805549621583
2023-02-21 12:18:42.631688,1.161028,-4875.839710235596,-9.75743293762207,-11348924.794404402,-9757.038116455078,-0.009760900497436524
2023-02-21 12:18:42.638627,1.167967,-4865.122318267822,-9.751285552978516,-11341774.736961223,-9734.972953796387,-0.009747187614440917
2023-02-21 12:18:42.644627,1.173967,-4879.780292510986,-9.762239456176758,-11354515.283004098,-9762.397766113281,-0.009764840126037597
2023-02-21 12:18:42.650690,1.18003,-4883.720397949219,-9.749237060546875,-11339392.123962782,-9766.9677734375,-0.009767046928405762
2023-02-21 12:18:42.662693,1.192033,-4875.288009643555,-9.74726676940918,-11337100.467326479,-9756.802558898926,-0.009761294364929198
2023-02-21 12:18:42.678633,1.207973,-4837.460994720459,-9.688713073730469,-11268996.336563773,-9683.354377746582,-0.009689422607421876
2023-02-21 12:18:42.685669,1.215009,-4847.154140472412,-9.689579963684082,-11270004.62111479,-9693.99356842041,-0.009695332527160646
2023-02-21 12:18:42.692650,1.22199,-4829.619884490967,-9.6828031539917,-11262122.475878792,-9667.829513549805,-0.009679256439208984
2023-02-21 12:18:42.709696,1.239036,-4827.176570892334,-9.677522659301758,-11255980.702986628,-9654.589653015137,-0.00967106056213379
2023-02-21 12:18:42.716653,1.245993,-4847.193717956543,-9.744429588317871,-11333800.526139159,-9718.738555908203,-0.009736943244934081
2023-02-21 12:18:42.723626,1.252966,-4878.203868865967,-9.731189727783203,-11318401.170339644,-9759.481430053711,-0.009760033607482909
